ID_Orden,ID_Cliente,ID_Ciudad,ID_StatusOrden,Total_Orden,Fecha_Orden,NumeroOrden,ID_DetalleOrden,ID_Parte_Orden,ID_Parte_Cotizacion,ID_Descuento,CantidadCotizacion,CantidadOrden,Vehiculo_Cotizacion,VehiculoID_Orden,IDCotizacion,status,TipoDocumento,FechaCreacionCotizacion,ProcesadoPor,IDAseguradora,AseguradoraSubsidiaria,NumeroReclamo,IDPlantaReparacion,OrdenRealizada,CotizacionRealizada,CotizacionDuplicada,procurementFolderID,DireccionEntrega1,DireccionEntrega2,MarcadoEntrega,IDPartner,CodigoPostal_Cotizacion,LeidoPorPlantaReparacion,LeidoPorPlantaReparacionFecha,CotizacionReabierta,EsAseguradora,CodigoVerificacion,IDClientePlantaReparacion,FechaCreacionRegistro_Cotizacion,IDRecotizacion,PartnerConfirmado,WrittenBy,SeguroValidado,FechaCaptura,Ruta,FechaLimiteRuta
1,,727,5,15027.6,1/21/2017 10:34,94126,1,AC1000105,AC1000105,21,1,1,53772,53772,1,Order,4191384207,1/21/2017 10:34,Aseguradora,438,86036,13285,2815295,FALSE,TRUE,FALSE,,19 New Street,2nd Floor,TRUE,86184,3432,FALSE,1/21/2017 10:34,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,1/21/2017 10:34,49192,FALSE,,FALSE,1/21/2017 10:34,3197009,1/21/2017 10:34
2,,818,5,18935.91,1/22/2017 10:34,,2,ABP5994,ABP5994,14,2,2,51110,51110,2,Order,532727003,1/22/2017 10:34,Aseguradora,438,98849,49217,1921879,FALSE,TRUE,TRUE,,576 White New Drive,Suite 7,FALSE,90587,42955,TRUE,1/22/2017 10:34,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,1/22/2017 10:34,41847,FALSE,,TRUE,1/22/2017 10:34,,1/22/2017 10:34
3,,769,5,3868.15,1/23/2017 10:34,98716,3,AC1000156,AC1000156,,3,3,,,3,Order,7886906991,1/23/2017 10:34,Aseguradora,880,18483,65029,3395527,FALSE,TRUE,TRUE,,77 North Clarendon St.,Pre Sales Department,FALSE,38605,85241,TRUE,1/23/2017 10:34,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,1/23/2017 10:34,91271,FALSE,,TRUE,1/23/2017 10:34,3091025,1/23/2017 10:34
4,,559,4,20181.14,1/24/2017 10:34,56382,4,ABP1995GEOR3,ABP1995GEOR3,23,4,4,193727,193727,4,Quote,3867600224,1/24/2017 10:34,Call center,880,7514,48838,1569444,FALSE,FALSE,TRUE,,495 Rocky Second Avenue,Einstein Building,FALSE,80089,22203,FALSE,1/24/2017 10:34,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,1/24/2017 10:34,32231,TRUE,,FALSE,1/24/2017 10:34,,1/24/2017 10:34
5,,207,2,23523.94,1/25/2017 10:34,39428,5,771OH2,771OH2,,5,5,184809,184809,5,Quote,5043466085,1/25/2017 10:34,Aseguradora,1278,9047,68675,939837,FALSE,TRUE,FALSE,,41 Second Freeway,Suite 2,TRUE,45227,14855,FALSE,1/25/2017 10:34,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,1/25/2017 10:34,22770,TRUE,,TRUE,1/25/2017 10:34,3030013,1/25/2017 10:34
6,,1004,4,7244.35,1/26/2017 10:34,45810,6,ABP2461,ABP2461,7,6,6,202405,202405,6,Order,402683507,1/26/2017 10:34,Planta de Reparacion,1278,21100,55141,1653918,TRUE,TRUE,TRUE,,97 South Fabien Boulevard,Suite 512,FALSE,91454,15495,TRUE,1/26/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,1/26/2017 10:34,37678,TRUE,,FALSE,1/26/2017 10:34,,1/26/2017 10:34
7,,907,6,14075.45,1/27/2017 10:34,67741,7,ABP25303C,ABP25303C,,7,7,117129,117129,7,Order,9155956080,1/27/2017 10:34,Servicio de Integracion,320,15986,87469,1657058,TRUE,FALSE,TRUE,,316 Green Nobel Way,APT 85,TRUE,92654,64137,TRUE,1/27/2017 10:34,TRUE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,1/27/2017 10:34,7749,TRUE,,FALSE,1/27/2017 10:34,3214002,1/27/2017 10:34
8,,443,3,19997.69,1/28/2017 10:34,56533,8,*440MISC,*440MISC,,8,8,53033,53033,8,Quote,7371560392,1/28/2017 10:34,Planta de Reparacion,880,5975,11805,90313,FALSE,FALSE,TRUE,,83 Cowley Road,Suite 2896,TRUE,18717,33647,FALSE,1/28/2017 10:34,FALSE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,1/28/2017 10:34,26618,FALSE,,FALSE,1/28/2017 10:34,,1/28/2017 10:34
9,,978,6,14798.64,1/29/2017 10:34,72089,9,AC1000154R,AC1000154R,12,9,9,113606,113606,9,Order,9726341974,1/29/2017 10:34,Call center,880,12879,23341,3384290,TRUE,TRUE,TRUE,,98 North Rocky Nobel Road,Appartment 438,FALSE,43399,65871,TRUE,1/29/2017 10:34,FALSE,FALSE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,1/29/2017 10:34,,TRUE,,FALSE,1/29/2017 10:34,3213MSO,1/29/2017 10:34
10,,274,2,9047.45,1/30/2017 10:34,30618,10,779TEMP999,779TEMP999,1,10,10,126538,126538,10,Quote,6038860487,1/30/2017 10:34,Servicio de Integracion,320,86163,8571,1086960,FALSE,TRUE,FALSE,,594 West Milton Street,3rd Floor,TRUE,59684,80092,TRUE,1/30/2017 10:34,TRUE,TRUE,4801fd9e-8569-4e18-8d59-0e3fbbb7ab78,,1/30/2017 10:34,64457,TRUE,,FALSE,1/30/2017 10:34,,1/30/2017 10:34
11,,292,2,17852.01,1/31/2017 10:34,46547,11,AC1000113R,AC1000113R,25,11,11,93571,93571,11,Order,2675427478,1/31/2017 10:34,Planta de Reparacion,1846,4101,86406,2920515,FALSE,TRUE,TRUE,,505 Second St.,,TRUE,37308,19603,TRUE,1/31/2017 10:34,FALSE,TRUE,60d79e6a-cd56-4809-a9ff-5c3c8a27ab43,,1/31/2017 10:34,886,TRUE,,FALSE,1/31/2017 10:34,3102KIP,1/31/2017 10:34
